filename,disease
one_well_A1.png,healthy
one_well_A2.png,question
one_well_A3.png,x2
one_well_A4.png,dead
one_well_A5.png,sb
one_well_A6.png,dead
one_well_A7.png,missing
one_well_A8.png,dead
one_well_A9.png,sb
one_well_A10.png,sb
one_well_A11.png,missing
one_well_A12.png,missing
one_well_B1.png,dead
one_well_B2.png,sb
one_well_B3.png,question
one_well_B4.png,healthy
one_well_B5.png,healthy
one_well_B6.png,sb
one_well_B7.png,question
one_well_B8.png,sb
one_well_B9.png,sb
one_well_B10.png,sb
one_well_B11.png,sb
one_well_B12.png,question
one_well_C1.png,healthy
one_well_C2.png,healthy
one_well_C3.png,missing
one_well_C4.png,sb
one_well_C5.png,healthy
one_well_C6.png,sb
one_well_C7.png,healthy
one_well_C8.png,dead
one_well_C9.png,sb
one_well_C10.png,healthy
one_well_C11.png,healthy
one_well_C12.png,dead
one_well_D1.png,sb
one_well_D2.png,healthy
one_well_D3.png,healthy
one_well_D4.png,question
one_well_D5.png,question
one_well_D6.png,healthy
one_well_D7.png,sb
one_well_D8.png,sb
one_well_D9.png,sb
one_well_D10.png,question
one_well_D11.png,question
one_well_D12.png,question
one_well_E1.png,missing
one_well_E2.png,healthy
one_well_E3.png,sb
one_well_E4.png,healthy
one_well_E5.png,question
one_well_E6.png,question
one_well_E7.png,sb
one_well_E8.png,sc
one_well_E9.png,question
one_well_E10.png,healthy
one_well_E11.png,healthy
one_well_E12.png,healthy
one_well_F1.png,sb
one_well_F2.png,sb
one_well_F3.png,healthy
one_well_F4.png,sb
one_well_F5.png,sb
one_well_F6.png,healthy
one_well_F7.png,sb
one_well_F8.png,sb
one_well_F9.png,sb
one_well_F10.png,question
one_well_F11.png,missing
one_well_F12.png,sb
one_well_G1.png,dead
one_well_G2.png,healthy
one_well_G3.png,sb
one_well_G4.png,healthy
one_well_G5.png,healthy
one_well_G6.png,question
one_well_G7.png,sb
one_well_G8.png,question
one_well_G9.png,sb
one_well_G10.png,healthy
one_well_G11.png,sb
one_well_G12.png,sb
one_well_H1.png,question
one_well_H2.png,sb
one_well_H3.png,sb
one_well_H4.png,question
one_well_H5.png,question
one_well_H6.png,sb
one_well_H7.png,question
one_well_H8.png,healthy
one_well_H9.png,sb
one_well_H10.png,question
one_well_H11.png,dead
one_well_H12.png,sb
