filename,disease
two_well_A1.png,sb
two_well_A2.png,sb
two_well_A3.png,question
two_well_A4.png,question
two_well_A5.png,question
two_well_A6.png,sb
two_well_A7.png,dead
two_well_A8.png,question
two_well_A9.png,healthy
two_well_A10.png,healthy
two_well_A11.png,question
two_well_A12.png,question
two_well_B1.png,sb
two_well_B2.png,healthy
two_well_B3.png,question
two_well_B4.png,sb
two_well_B5.png,healthy
two_well_B6.png,healthy
two_well_B7.png,question
two_well_B8.png,dead
two_well_B9.png,question
two_well_B10.png,missing
two_well_B11.png,question
two_well_B12.png,sb
two_well_C1.png,question
two_well_C2.png,question
two_well_C3.png,healthy
two_well_C4.png,dead
two_well_C5.png,healthy
two_well_C6.png,sb
two_well_C7.png,sb
two_well_C8.png,question
two_well_C9.png,sb
two_well_C10.png,sb
two_well_C11.png,sb
two_well_C12.png,healthy
two_well_D1.png,sb
two_well_D2.png,sb
two_well_D3.png,sb
two_well_D4.png,sb
two_well_D5.png,sb
two_well_D6.png,healthy
two_well_D7.png,sb
two_well_D8.png,sb
two_well_D9.png,sb
two_well_D10.png,sb
two_well_D11.png,sb
two_well_D12.png,question
two_well_E1.png,healthy
two_well_E2.png,sb
two_well_E3.png,healthy
two_well_E4.png,healthy
two_well_E5.png,question
two_well_E6.png,healthy
two_well_E7.png,question
two_well_E8.png,sb
two_well_E9.png,question
two_well_E10.png,sb
two_well_E11.png,sb
two_well_E12.png,healthy
two_well_F1.png,sb
two_well_F2.png,question
two_well_F3.png,sb
two_well_F4.png,sb
two_well_F5.png,healthy
two_well_F6.png,question
two_well_F7.png,sb
two_well_F8.png,sb
two_well_F9.png,healthy
two_well_F10.png,question
two_well_F11.png,sb
two_well_F12.png,question
two_well_G1.png,sb
two_well_G2.png,healthy
two_well_G3.png,sb
two_well_G4.png,sb
two_well_G5.png,sb
two_well_G6.png,sb
two_well_G7.png,sb
two_well_G8.png,sb
two_well_G9.png,healthy
two_well_G10.png,question
two_well_G11.png,sb
two_well_G12.png,sb
two_well_H1.png,healthy
two_well_H2.png,sb
two_well_H3.png,healthy
two_well_H4.png,sb
two_well_H5.png,dead
two_well_H6.png,sb
two_well_H7.png,healthy
two_well_H8.png,healthy
two_well_H9.png,healthy
two_well_H10.png,healthy
two_well_H11.png,dead
two_well_H12.png,sb
